AppSize_Bytes,Price,TotalRatingCount,TotalRatingCount_CurrentVersion,AppType,SupportDeviceNum,DisplayedScreenshotNum,SupportLanguageNum,RatingLevel
69079040,1.99000001,1572,34,Weather,37,0,13,High Rating
166025216,0,1040,5,Navigation,38,0,1,High Rating
343504896,1.99000001,15430,63,Games,37,5,1,High Rating
243441664,0,2500,162,Games,38,5,1,High Rating
144820224,0,20251,53,Sports,37,4,18,High Rating
187205632,0,253448,315,Games,37,5,11,High Rating
61046784,0,397,1,Photo & Video,37,5,8,High Rating
122903552,0,34039,541,Games,38,5,15,High Rating
966167552,29.98999977,647,44,Games,38,5,8,High Rating
71191552,0,5979,591,Utilities,37,4,22,High Rating
30896128,0.99000001,81,7,Weather,38,0,1,High Rating
47482880,2.99000001,253,140,Games,38,5,1,High Rating
729790464,0,1498,166,Games,38,4,1,High Rating
176520192,0.99000001,116,72,Games,40,5,12,High Rating
50565120,1.99000001,115,79,Photo & Video,38,5,1,High Rating
91478016,0,1354,153,Games,38,5,11,High Rating
629897216,2.99000001,67,15,Education,38,5,1,High Rating
170858496,0,17376,12,Games,37,5,34,High Rating
360722432,0,58,1,Games,40,5,1,High Rating
138277888,2.99000001,29,0,Games,37,5,1,High Rating
61915136,1.99000001,214,137,Entertainment,37,4,1,High Rating
147093504,0,288713.31,136,Music,37,3,16,High Rating
151573504,0,288713.31,919,Social Networking,37,5,16,High Rating
89187328,1.99000001,32338,261,Photo & Video,37,0,10,High Rating
25606144,1.99000001,261,1,Sports,37,0,1,High Rating
8309760,1.99000001,1043,119,Weather,37,5,30,High Rating
54710272,0,1158,5,Weather,37,5,1,High Rating
56385536,0.99000001,6977,893,Games,43,0,1,High Rating
72376320,1.99000001,413,42,Games,38,0,1,High Rating
112133120,0,2555,332,Games,38,5,2,High Rating
3900805.12,1.99000001,230,141,Photo & Video,38,5,1,High Rating
958016512,0,5526,816,Games,37,5,14,High Rating
,1.99000001,7078,102,Games,37,1,1,High Rating
475708416,0,7375,42,Games,37,5,1,High Rating
104689664,0.99000001,388,388,Games,43,5,1,High Rating
19860480,0,2140,425,Games,43,5,1,High Rating
134921216,0,2487,23,Music,37,5,11,High Rating
1475972362,4.989999771,58,58,Games,38,5,6,High Rating
55059456,0.99000001,40,4,Travel,37,0,31,High Rating
1082765312,6.989999771,109,109,Games,38,5,5,High Rating
68615168,0,18,5,Games,35,5,11,High Rating
305483776,2.99000001,2298,157,Games,37,5,1,High Rating
66196480,0,146,24,Games,40,3,11,High Rating
151424000,0,61,49,Games,37,5,5,High Rating
275088384,1.99000001,99,85,Games,37,5,1,High Rating
