AppSize(Bytes),AppRestriction,AppType,SupportDeviceNum,DisplayedScreenshotNum,SupportLanguageNum
100788224,4+,Games,38,5,10
10485713,4+,Games,43,5,1
70023168,4+,Games,38,0,10
49618944,4+,Games,38,4,11
55153664,4+,Games,38,5,2
10735026,4+,Games,43,0,1
6169600,4+,Games,40,5,1
66872320,9+,Games,37,0,1
32164864,4+,Games,38,5,1
55205888,4+,Games,40,0,1
66695168,4+,Games,40,5,1
41691136,9+,Games,37,3,15
55803904,4+,Games,43,4,1
66160640,4+,Games,37,0,1
27962441,12+,Games,43,5,1
168192000,4+,Games,37,5,4
47774720,17+,Games,38,5,1
431771648,4+,Games,43,0,6
48741376,4+,Games,37,0,1
118683648,12+,Games,37,2,1
31387648,4+,Games,37,0,11
270729216,4+,Games,37,5,7
39827456,9+,Games,38,5,1
146228224,4+,Games,37,5,3
223805440,4+,Games,43,0,5
22159360,4+,Games,37,3,9
19853312,4+,Games,40,0,1
42926080,4+,Games,40,5,15
36692992,4+,Games,37,5,1
36647936,4+,Games,37,5,6
69960704,4+,Games,37,5,13
253834240,12+,Games,40,0,1
69083136,9+,Games,37,5,17
81374398,12+,Games,43,0,1
21010210,4+,Games,43,0,1
126312448,9+,Games,38,0,5
229272576,4+,Games,38,5,1
13647872,12+,Games,40,5,1
123544576,4+,Games,38,0,12
3903508.48,4+,Games,37,5,2
31845376,4+,Games,37,5,1
8432232,4+,Games,43,0,1
27934720,9+,Games,43,5,15
376171520,4+,Games,38,0,6
364490752,12+,Games,43,5,1
32796672,17+,Games,40,3,5
125411328,4+,Games,40,0,1
63316992,4+,Games,38,5,1
15313920,17+,Games,40,5,1
32848910,4+,Games,43,4,1
52821364,17+,Games,43,0,1
37340259,17+,Games,43,0,1
7767040,4+,Games,37,3,1
175966208,4+,Games,38,0,10
5415000,4+,Games,43,0,1
878883840,17+,Games,38,5,6
22299021,4+,Games,43,0,1
47182848,4+,Games,37,5,1
17879270,12+,Games,43,0,1
105379840,9+,Games,38,0,5
75612160,4+,Games,38,5,3
84469760,12+,Games,37,1,31
76394496,4+,Games,43,5,1
581353472,17+,Games,40,0,3
114843648,9+,Games,38,3,8
199450624,9+,Games,38,5,6
529755136,12+,Games,40,5,1
101943296,4+,Games,38,4,11
151954432,4+,Games,38,5,1
104590336,4+,Games,38,5,13
225859584,9+,Games,24,5,5
234123264,9+,Games,26,5,6
219693056,9+,Games,24,5,1
176164864,4+,Games,24,5,10
71002112,4+,Games,40,5,7
14160896,4+,Games,40,0,1
25137152,9+,Games,43,5,1
61595648,4+,Games,40,5,7
35975168,4+,Games,40,5,1
14824448,4+,Games,40,3,1
227403527,12+,Games,43,5,1
52117504,9+,Games,43,5,1
359192576,4+,Games,38,5,2
121715712,12+,Games,40,0,13
304654336,12+,Games,37,5,4
99558400,4+,Games,37,5,1
16857290,9+,Games,26,5,1
41772032,4+,Games,24,5,9
62373888,4+,Games,43,5,1
191410176,4+,Games,38,5,1
33989632,4+,Games,37,0,9
51794944,4+,Games,40,5,7
19534848,4+,Games,37,5,1
77139968,4+,Games,43,5,5
624107810,12+,Games,43,5,13
27619328,4+,Games,43,0,1
812010496,4+,Games,24,5,6
511094784,9+,Games,43,5,1
39446528,4+,Games,38,5,3
106458112,4+,Games,38,4,1
124710912,9+,Games,38,5,1
97562624,4+,Games,43,5,1
275481600,9+,Games,38,5,1
1269152768,4+,Games,37,5,8
53805056,12+,Games,40,5,1
91588608,4+,Games,38,5,3
191455232,4+,Games,38,5,5
29303808,12+,Games,37,5,1
42482779,12+,Games,43,0,1
88879104,4+,Games,43,5,1
50085888,4+,Games,43,4,1
83214336,4+,Games,40,5,1
710486016,4+,Games,24,5,1
22577152,9+,Games,43,0,1
34992128,4+,Games,43,5,1
59663360,4+,Games,40,0,1
119131136,4+,Games,37,5,1
410202112,4+,Games,37,0,8
11911065,9+,Games,43,0,1
163801088,4+,Games,38,5,13
475697678,9+,Games,43,5,1
9458688,4+,Games,37,3,1
23447492,4+,Games,43,0,1
122429440,9+,Games,43,5,1
655987075,12+,Games,43,5,1
192136192,9+,Games,37,0,6
8773632,9+,Games,43,5,1
183409664,4+,Games,38,5,6
60013568,4+,Games,24,5,1
16949248,12+,Games,43,5,1
27227934,4+,Games,43,4,1
198701056,12+,Games,37,5,4
247508992,9+,Games,43,5,1
106427392,4+,Games,40,5,16
22515712,9+,Games,43,0,1
18358272,4+,Games,38,5,1
30252032,4+,Games,37,0,6
65921024,9+,Games,40,5,1
138319872,4+,Games,40,0,1
226899968,4+,Games,24,5,1
301896704,4+,Games,40,5,8
124720128,12+,Games,38,4,1
43033600,4+,Games,37,5,3
30275615,4+,Games,43,5,6
140165120,4+,Games,43,0,1
139853824,4+,Games,26,5,1
290695168,9+,Games,40,0,8
212580352,12+,Games,37,3,2
194308096,4+,Games,37,5,9
415420416,4+,Games,24,5,8
164235264,4+,Games,24,5,1
149715968,9+,Games,24,5,12
